LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
RandomForest,google_orbit,1,0.613147193,0.526552901,0.606152396,0.55864856,0.498432304,0.475128488,0.43721583,0.423551382,0.39660471,0.431506271,0.421561564,0.449930475,0.440541399,0.421751294,0.444920126,0.44685285,0.439600224,0.458633241,0.476140117,Medium
RandomForest,PyGithub_PyGithub,0.05511811,0.05511811,0.276824595,0.231606597,0.332423713,0.299138242,0.282551471,0.269429958,0.252037633,0.299623588,0.28365912,0.321670607,0.3116872,0.302857312,0.294977423,0.283473981,0.310551981,0.299725251,0.290347879,0.284778008,Medium
RandomForest,stellar_stellar-core,0,0,0,0.040030366,0.099339407,0.141670804,0.17377569,0.168775399,0.164695318,0.154217272,0.145297044,0.163697653,0.155669272,0.171013678,0.184707192,0.217373729,0.22775444,0.223582132,0.217605847,0.212108765,Medium
RandomForest,Tencent_wepy,0.118110236,0.166847598,0.184972759,0.153873745,0.165711164,0.160580301,0.168232325,0.164232856,0.169883527,0.174604887,0.178624301,0.175413218,0.17878162,0.176014134,0.173544399,0.166590953,0.164758834,0.194635243,0.196315041,0.197860147,Medium
RandomForest,the1812_Bilibili-Evolved,0,0,0.027713311,0.032320812,0.035311933,0.037446824,0.039065964,0.040346837,0.04139199,0.042265257,0.097662504,0.145543605,0.187449531,0.181413318,0.174683157,0.167684084,0.16343014,0.193354076,0.188659128,0.183322111,Medium
RandomForest,zyedidia_micro,0.047619048,0.029197485,0.078213121,0.161592455,0.156721729,0.14657965,0.138209891,0.131124011,0.125008229,0.119649449,0.114896593,0.114225023,0.127075661,0.138767432,0.141466812,0.16675564,0.19013904,0.187636,0.208492386,0.227994978,Medium
RandomForest,ansible_awx,0.244094488,0.170988446,0.130867826,0.276992877,0.371855083,0.334319338,0.30368718,0.279454602,0.261352975,0.244725493,0.230570092,0.271398664,0.307132159,0.293122524,0.280620173,0.269376495,0.296987249,0.322133874,0.311193149,0.301129694,Large
RandomForest,apache_airflow,0,0.386852807,0.530721274,0.44546393,0.387016801,0.345300587,0.405287712,0.372947966,0.417315509,0.454386356,0.428103762,0.405387118,0.385505329,0.367920751,0.394880388,0.419125864,0.441077488,0.425300235,0.410855642,0.429907564,Large
RandomForest,apache_tvm,0.225806452,0.17588996,0.248154428,0.287784869,0.250026033,0.233507147,0.256446843,0.254001907,0.270266467,0.283856154,0.295425401,0.284884292,0.294643386,0.303274881,0.31097772,0.302395175,0.309253267,0.301652933,0.291407809,0.281984178,Large
RandomForest,apple_cups,1,0.634469788,0.720237564,0.767273333,0.73168916,0.706291214,0.733202412,0.676581774,0.699465477,0.71858572,0.705714571,0.671191707,0.687317768,0.701580567,0.714308843,0.686634926,0.661579223,0.638759623,0.61893724,0.631260159,Large
